"sample","imageptpair","filenameleft","frameleft","filenameright","frameright","period","periodtime","length","precision","rms","range","direction","horzdir","vertdir","midx","midy","midz","family","genus","species","code","number","stage","activity","attribute9","attribute10","campaignid","x","y","z","sx","sy","sz","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone"
"FH11","1","FH11_L372.avi","14415","FH11_R371.avi","15545","1","2.45600",96.59168,"2.04199","7.01526","1368.73767","42.71575","59.21697","3.96672","924.27212","-88.49696","-1005.65011","Labridae","Austrolabrus","maculatus","37384025",1,"AD","Passing",NA,NA,"2020-10_south-west_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"FH","MBH","-33.89868897","114.9388721","20201029","14:48:00","South-west","Fished","C.FH.18","42.3","Rachel","Yes","Yes",NA,NA
"FH11","6","FH11_L372.avi","18036","FH11_R371.avi","19166","1","4.87000",174.11773,"0.98245","14.74943","1640.35240","18.10200","1.85261","8.25340","462.29747","214.58753","-1559.16299","Serranidae","Caesioperca","sp1",NA,1,"AD","Passing",NA,NA,"2020-10_south-west_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"FH","MBH","-33.89868897","114.9388721","20201029","14:48:00","South-west","Fished","C.FH.18","42.3","Rachel","Yes","Yes",NA,NA
"FH11","9","FH11_L372.avi","19923","FH11_R371.avi","21053","1","6.12800",118.27739,"1.56404","7.65544","1260.64840","33.38059","43.07537","4.56602","690.36135","-67.01174","-1052.68467","Labridae","Pseudolabrus","biserialis","37384149",1,"AD","Passing",NA,NA,"2020-10_south-west_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"FH","MBH","-33.89868897","114.9388721","20201029","14:48:00","South-west","Fished","C.FH.18","42.3","Rachel","Yes","Yes",NA,NA
"FH11","10","FH11_L372.avi","27409","FH11_R371.avi","28539","1","11.11867",655.5563,"4.79600","4.22879","2251.92243","32.92895","41.32996","5.89443","1223.25105","-46.69202","-1890.14057","Heterodontidae","Heterodontus","portusjacksoni","37007001",1,"AD","Passing",NA,NA,"2020-10_south-west_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"FH","MBH","-33.89868897","114.9388721","20201029","14:48:00","South-west","Fished","C.FH.18","42.3","Rachel","Yes","Yes",NA,NA
"FH11","13","FH11_L372.avi","49492","FH11_R371.avi","50622","1","25.84067",942.3448,"4.26845","2.83323","2255.02993","31.49436","9.78939","3.66729","1177.10223","-47.51144","-1922.84502","Trygonorrhinidae","Trygonorrhina","dumerilii","37027011",1,"AD","Passing",NA,NA,"2020-10_south-west_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"FH","MBH","-33.89868897","114.9388721","20201029","14:48:00","South-west","Fished","C.FH.18","42.3","Rachel","Yes","Yes",NA,NA
"FH11","14","FH11_L372.avi","73057","FH11_R371.avi","74187","1","41.55067",283.84034,"3.40272","4.09565","1754.80472","32.80122","62.05579","2.16558","950.25294","26.54375","-1475.00995","Labridae","Ophthalmolepis","lineolatus","37384040",1,"M","Passing",NA,NA,"2020-10_south-west_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"FH","MBH","-33.89868897","114.9388721","20201029","14:48:00","South-west","Fished","C.FH.18","42.3","Rachel","Yes","Yes",NA,NA
"FH11","16","FH11_L372.avi","73192","FH11_R371.avi","74322","1","41.64067",192.70778,"5.28626","18.02500","2650.95559","34.90256","28.73631","27.63991","1462.33136","402.94146","-2174.11837","Labridae","Ophthalmolepis","lineolatus","37384040",1,"F","Passing",NA,NA,"2020-10_south-west_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"FH","MBH","-33.89868897","114.9388721","20201029","14:48:00","South-west","Fished","C.FH.18","42.3","Rachel","Yes","Yes",NA,NA
"FH11","17","FH11_L372.avi","73296","FH11_R371.avi","74426","1","41.71000",205.9881,"2.92165","19.92074","1721.41678","31.30660","53.60260","10.48914","844.74787","294.09600","-1470.77677","Scorpididae","Neatypus","obliquus","37361002",1,"AD","Passing",NA,NA,"2020-10_south-west_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"FH","MBH","-33.89868897","114.9388721","20201029","14:48:00","South-west","Fished","C.FH.18","42.3","Rachel","Yes","Yes",NA,NA
"FH11","18","FH11_L372.avi","73483","FH11_R371.avi","74613","1","41.83467",209.59055,"1.97712","8.55182","1349.97895","41.51658","64.63990","15.15884","889.99768","-92.73183","-1010.81556","Labridae","Ophthalmolepis","lineolatus","37384040",1,"F","Passing",NA,NA,"2020-10_south-west_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"FH","MBH","-33.89868897","114.9388721","20201029","14:48:00","South-west","Fished","C.FH.18","42.3","Rachel","Yes","Yes",NA,NA
"FH11","19","FH11_L372.avi","73534","FH11_R371.avi","74664","1","41.86867",219.36169,"1.54704","4.29213","1361.18238","27.77649","33.81022","8.72288","633.49096","-32.86987","-1204.33644","Labridae","Ophthalmolepis","lineolatus","37384040",1,"F","Passing",NA,NA,"2020-10_south-west_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"FH","MBH","-33.89868897","114.9388721","20201029","14:48:00","South-west","Fished","C.FH.18","42.3","Rachel","Yes","Yes",NA,NA
