"id","campaignid","sample","family","genus","species","length","range","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone"
"2020-10_south-west_stereo-BRUVs.FH102","2020-10_south-west_stereo-BRUVs","FH102","Carangidae","Pseudocaranx","spp",232.24485,2015.20091,"FH","MBH",-33.68868897,114.9288721,20201017,06:42:00,"South-west","No-take","C.FH.3",44.1,"Daphne","Yes","Yes","NA","Injidup Sanctuary Zone"
"2020-10_south-west_stereo-BRUVs.FH102","2020-10_south-west_stereo-BRUVs","FH102","Gerreidae","Parequula","melbournensis",146.40316,1593.56705,"FH","MBH",-33.68868897,114.9288721,20201017,06:42:00,"South-west","No-take","C.FH.3",44.1,"Daphne","Yes","Yes","NA","Injidup Sanctuary Zone"
"2020-10_south-west_stereo-BRUVs.FH102","2020-10_south-west_stereo-BRUVs","FH102","Gerreidae","Parequula","melbournensis",182.94573,3311.68688,"FH","MBH",-33.68868897,114.9288721,20201017,06:42:00,"South-west","No-take","C.FH.3",44.1,"Daphne","Yes","Yes","NA","Injidup Sanctuary Zone"
"2020-10_south-west_stereo-BRUVs.FH102","2020-10_south-west_stereo-BRUVs","FH102","Gerreidae","Parequula","melbournensis",126.64044,1882.36822,"FH","MBH",-33.68868897,114.9288721,20201017,06:42:00,"South-west","No-take","C.FH.3",44.1,"Daphne","Yes","Yes","NA","Injidup Sanctuary Zone"
"2020-10_south-west_stereo-BRUVs.FH102","2020-10_south-west_stereo-BRUVs","FH102","Gerreidae","Parequula","melbournensis",138.8132,1783.01769,"FH","MBH",-33.68868897,114.9288721,20201017,06:42:00,"South-west","No-take","C.FH.3",44.1,"Daphne","Yes","Yes","NA","Injidup Sanctuary Zone"
"2020-10_south-west_stereo-BRUVs.FH102","2020-10_south-west_stereo-BRUVs","FH102","Gerreidae","Parequula","melbournensis",118.13127,2090.26194,"FH","MBH",-33.68868897,114.9288721,20201017,06:42:00,"South-west","No-take","C.FH.3",44.1,"Daphne","Yes","Yes","NA","Injidup Sanctuary Zone"
"2020-10_south-west_stereo-BRUVs.FH102","2020-10_south-west_stereo-BRUVs","FH102","Gerreidae","Parequula","melbournensis",126.12356,2036.62209,"FH","MBH",-33.68868897,114.9288721,20201017,06:42:00,"South-west","No-take","C.FH.3",44.1,"Daphne","Yes","Yes","NA","Injidup Sanctuary Zone"
"2020-10_south-west_stereo-BRUVs.FH102","2020-10_south-west_stereo-BRUVs","FH102","Labridae","Coris","auricularis",140.3082,1955.71094,"FH","MBH",-33.68868897,114.9288721,20201017,06:42:00,"South-west","No-take","C.FH.3",44.1,"Daphne","Yes","Yes","NA","Injidup Sanctuary Zone"
"2020-10_south-west_stereo-BRUVs.FH102","2020-10_south-west_stereo-BRUVs","FH102","Labridae","Coris","auricularis",178.96463,4624.81159,"FH","MBH",-33.68868897,114.9288721,20201017,06:42:00,"South-west","No-take","C.FH.3",44.1,"Daphne","Yes","Yes","NA","Injidup Sanctuary Zone"
"2020-10_south-west_stereo-BRUVs.FH102","2020-10_south-west_stereo-BRUVs","FH102","Labridae","Coris","auricularis",285.54503,1273.55102,"FH","MBH",-33.68868897,114.9288721,20201017,06:42:00,"South-west","No-take","C.FH.3",44.1,"Daphne","Yes","Yes","NA","Injidup Sanctuary Zone"
