OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
FHA	0	FHA_L372.avi	10627	FHA_R371.avi	10286	7.08467	1	2.77867	122.18934	2.76968	15.05944	2069.20296	24.17429	27.49875	8.51338	776.57132	-339.06911	-1887.74204	Pinguipedidae	Parapercis	ramsayi	37390002	1	AD	Passing			
FHA	1	FHA_L372.avi	13622	FHA_R371.avi	13281	9.08133	1	4.77533	56.87965	1.14275	10.14995	1677.88666	19.33047	15.19300	42.38645	538.28746	-136.83739	-1583.29586	Labridae	Austrolabrus	maculatus	37384025	1	AD	Passing			
FHA	2	FHA_L372.avi	13678	FHA_R371.avi	13337	9.11867	1	4.81267	207.96357	2.45400	9.67973	2726.21061	13.37792	12.87253	8.41056	563.61182	283.22175	-2652.23518	Monacanthidae	Acanthaluteres	vittiger	37465002	1	AD	Passing			
FHA	3	FHA_L372.avi	13951	FHA_R371.avi	13610	9.30067	1	4.99467	110.01759	4.10288	3.99037	1939.74002	40.06724	77.14432	14.66985	1245.23913	-91.32844	-1484.46286	Labridae	Austrolabrus	maculatus	37384025	1	AD	Passing			
FHA	5	FHA_L372.avi	29066	FHA_R371.avi	28725	19.37733	1	15.07133	135.05037	9.61756	7.70714	4678.78961	20.47297	7.45513	0.28095	1627.12759	174.69646	-4383.26467	Labridae	Suezichthys	bifurcatus	37384160	1	AD	Passing			
FHA	7	FHA_L372.avi	38724	FHA_R371.avi	38383	25.81600	1	21.51000	127.11841	3.60664	6.91078	1866.84335	44.14069	58.47833	11.58464	1291.95294	-145.42600	-1339.70630	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing			
FHA	8	FHA_L372.avi	39006	FHA_R371.avi	38665	26.00400	1	21.69800	895.95868	6.39177	8.04141	2437.96377	12.46784	79.27575	0.84685	525.01215	-37.30743	-2380.47006	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing			
FHA	9	FHA_L372.avi	39337	FHA_R371.avi	38996	26.22467	1	21.91867	178.52965	5.77053	2.05512	2348.33381	24.77079	62.35859	2.31443	983.91766	-4.20025	-2132.26643	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing			
FHA	10	FHA_L372.avi	54574	FHA_R371.avi	54233	36.38267	1	32.07667	863.28712	3.68178	15.73964	1896.10978	33.83869	54.09272	3.18314	1020.98660	-269.12754	-1574.92508	Rhinobatidae	Aptychotrema	vincentiana	37027001	1	AD	Passing			
FHA	11	FHA_L372.avi	59519	FHA_R371.avi	59178	39.67933	1	35.37333	69.54598	6.05673	4.67008	3387.53368	26.04724	13.39173	29.96663	1487.27445	26.29498	-3043.46969	Labridae	Eupetrichthys	angustipes	37384105	1	AD	Passing			
